state,county,population_(2020),building_value_($),agriculture_value_($),area_(sq_mi),national_risk_index_value_composite,national_risk_index_score_composite,national_risk_index_rating_composite,national_risk_index_state_percentile_composite,expected_annual_loss_score_composite,expected_annual_loss_rating_composite,expected_annual_loss_state_percentile_composite,expected_annual_loss_total_composite,expected_annual_loss_building_value_composite,expected_annual_loss_population_composite,expected_annual_loss_population_equivalence_composite,expected_annual_loss_agriculture_value_composite,expected_annual_loss_rate_building_composite,wildfire_number_of_events,wildfire_annualized_frequency,wildfire_exposure_impacted_area_(sq_mi),wildfire_exposure_building_value,wildfire_exposure_population,wildfire_exposure_population_equivalence,wildfire_exposure_agriculture_value,wildfire_exposure_total,wildfire_historic_loss_ratio_buildings,wildfire_historic_loss_ratio_population,wildfire_historic_loss_ratio_agriculture,wildfire_historic_loss_ratio_total_rating,wildfire_expected_annual_loss_building_value,wildfire_expected_annual_loss_population,wildfire_expected_annual_loss_population_equivalence,wildfire_expected_annual_loss_agriculture_value,wildfire_expected_annual_loss_total,wildfire_expected_annual_loss_score,wildfire_expected_annual_loss_rating,wildfire_expected_annual_loss_rate_building,wildfire_expected_annual_loss_rate_population,wildfire_expected_annual_loss_rate_agriculture,wildfire_expected_annual_loss_rate_national_percentile,wildfire_hazard_type_risk_index_value,wildfire_hazard_type_risk_index_score,wildfire_hazard_type_risk_index_rating,total_workers,maximum_temperature,mean_temperature
Colorado,Denver,715210,121000000000,1794202,156.2874729,72910820.43,93.60483614,Relatively Moderate,95.3125,93.62426493,Relatively Moderate,92.1875,66854267.38,54820720.47,1.036751767,12026320.49,7226.42378,4.53e-4,NA,1.03e-4,2.738610082,2858433757,16556.72137,192000000000,74167.19069,195000000000,0.4,6.77e-5,0.013579329,Very Low,71963.1811,7.48e-5,867.2792696,0.403516262,72830.86388,60.48361438,Very Low,5.94e-7,1.05e-10,2.25e-7,8.335984728,60764.99789,56.22017181,Very Low,42,87.2,85.9
Colorado,Douglas,357700,65157194587,21641255,851.3783394,22409203.8,81.89627744,Relatively Low,87.5,87.49613123,Relatively Moderate,87.5,30778957.37,19761426.78,0.937451335,10874435.49,143095.1011,3.03e-4,NA,0.00217269,23.03971081,12704693646,61983.84387,719000000000,9600043.42,732000000000,0.4,2e-5,0.013579329,Relatively Low,8504457.429,0.001894279,21973.6362,281.0170335,8526712.082,97.64556157,Relatively High,1.31e-4,5.3e-9,1.3e-5,83.6461979,5647992.575,96.11835826,Relatively Moderate,36,86.7,85.8
Colorado,Eagle,55552,15224538286,9456181,1708.872698,3803903.003,32.00763602,Very Low,62.5,36.30454968,Very Low,60.9375,3775207.401,1120589.712,0.227956137,2644291.189,10326.5001,7.36e-5,NA,2.96e-4,3.616402142,1427129644,5472.00467,63475254174,1238656.912,64903622475,0.4,1.29e-5,3.16e-5,Relatively Low,110262.0066,1.32e-5,153.5797501,0.019132889,110415.6055,65.47884187,Relatively Low,7.24e-6,2.38e-10,2.02e-9,54.31116767,114348.1482,64.9697741,Relatively Low,13,74.8,72.2
Colorado,El Paso,729693,107000000000,36588882,2150.639994,72178950.28,93.50938594,Relatively Moderate,92.1875,94.24326834,Relatively Moderate,95.3125,74504664.83,46986077.4,2.359118973,27365780.08,152807.3508,4.41e-4,NA,0.001999212,45.93324921,18736801430,113684.8904,1320000000000,18600479.15,1340000000000,0.4,1.31e-5,0.013579329,Relatively Low,15293374.87,0.00274831,31880.39788,291.0926822,15325546.36,98.91823099,Relatively High,1.43e-4,3.77e-9,7.96e-6,84.75978365,12520304.69,98.18644607,Relatively High,156,84.5,80.8
Colorado,Garfield,61566,12537441503,41134136,2985.646518,7436295.683,56.41107222,Relatively Low,75,52.83194058,Relatively Low,75,5890758.573,2479554.552,0.290336261,3367900.633,43303.38796,1.98e-4,NA,0.001656418,21.83787189,2364963530,9300.39109,108000000000,12357734,110000000000,0.4,8.7e-7,3.38e-6,Relatively Low,1225784.44,8.59e-6,99.61516633,0.092878437,1225884.148,88.25962456,Relatively Moderate,9.78e-5,1.39e-10,2.26e-9,80.65542475,1666849.781,89.78682787,Relatively Moderate,49,82.2,80.8
Colorado,Grand,15695,7063262111,16558935,1888.443516,3770496.907,31.56220172,Very Low,60.9375,34.66419065,Very Low,57.8125,3599441.178,1984393.209,0.138363905,1605021.299,10026.66942,2.81e-4,NA,3.26e-4,4.302042396,810373253.5,1635.186459,18968162930,1772295.207,19780308478,0.4,1.29e-5,3.16e-5,Relatively High,135158.8295,7.8e-6,90.45861809,0.009314796,135249.2975,68.31053134,Relatively Low,1.91e-5,4.97e-10,5.63e-10,63.41075406,138115.2343,66.59242762,Relatively Low,28,89.5,86.3
Colorado,Gunnison,16897,5910982235,27665390,3292.538009,2985013.161,23.67165129,Very Low,48.4375,30.64066852,Very Low,56.25,3172477.202,356939.5549,0.242084689,2808182.395,7355.252289,6.04e-5,NA,3.45e-4,10.38203087,727988335.6,1310.110272,15197279161,6064104.749,15931331601,0.4,8.75e-6,5e-5,Relatively High,119064.3926,2.83e-6,32.77749849,0.163142553,119097.3332,66.62424435,Relatively Low,2.01e-5,1.67e-10,5.9e-9,63.82437162,108059.1097,64.30162265,Very Low,6,74.4,70.4
Colorado,Jackson,1355,512383916,28099347,1637.329297,483619.3577,1.749920458,Very Low,4.6875,1.609408852,Very Low,1.5625,424385.941,63369.84122,0.030347064,352025.9447,8990.155106,1.24e-4,NA,3.48e-4,5.335931993,41820342.89,111.7865572,1296724064,2300167.396,1340844574,0.4,1.29e-5,3.16e-5,Relatively Moderate,6344.607673,4.88e-7,5.655057835,0.025039737,6350.28777,19.82182628,Very Low,1.24e-5,3.6e-10,8.91e-10,59.40184537,7236.62543,20.07636017,Very Low,53,87.5,87.3
Colorado,Jefferson,582825,99942694214,10369926,781.8746809,93244914.11,94.78205536,Relatively Moderate,98.4375,96.13122872,Relatively High,100,112122111.7,100328594.7,1.007217168,11683719.15,109797.8674,0.001003861,NA,0.006516265,26.46351188,17064258882,79817.90686,926000000000,3683526.72,943000000000,0.4,5.58e-6,0.013579329,Relatively Low,35006998.93,0.002134214,24756.88319,177.8657287,35031933.68,99.68183264,Relatively High,3.5e-4,3.66e-9,1.72e-5,93.06395164,23372547.25,99.39548202,Relatively High,22,76.7,74.5
Colorado,Kit Carson,7070,5241935575,543836359,2183.514013,6271435.111,49.85682469,Relatively Low,73.4375,41.31847725,Very Low,65.625,4335233.623,1935048.452,0.079102521,917589.2409,1482595.93,3.69e-4,NA,5.32e-5,105.8174587,306744072.5,447.4847931,5190823599,55434746.36,5553002418,0.4,2.18e-4,0.036468584,Relatively Moderate,3524.923544,2.97e-6,34.48889862,279.7295684,3839.142011,12.47216036,Very Low,6.72e-7,4.21e-10,5.14e-7,14.76296532,5541.934194,15.65383392,Very Low,39,88.8,86.3
